,,,,,,,,
Item OCLC Number,Title,Author Name,LHR Item Call Number,Conspectus Subject,Publisher Name,Publication Date,Circulation Activity Count,URL
7576809,Reading activities for child involvement /,"Spache, Evelyn B.",372.4 Sp732R, Theory & Practice of Education,"Allyn and Bacon,",1982,0,https://libswu.on.worldcat.org/oclc/7576809
7576809,Reading activities for child involvement /,"Spache, Evelyn B.",372.4 Sp732R  c.2, Theory & Practice of Education,"Allyn and Bacon,",1982,0,https://libswu.on.worldcat.org/oclc/7576809
7614341,Psychology for teaching /,"Mouly, George J.",370.1523 Mo927P, Educational Psychology,"Allyn and Bacon,",1982,0,https://libswu.on.worldcat.org/oclc/7614341
7772592,Instructional media and the new technologies of instruction /,"Heinich, Robert.; Molenda, Michael.Russell, James D.",371.3078 He468I, Theory & Practice of Education,"Wiley,",1982,0,https://libswu.on.worldcat.org/oclc/7772592
7869220,Technology in education :its human potential /,"Stakenas, Robert G.; Kaufman, Roger A.",371.3078 St73T, Theory & Practice of Education,"Phi Delta Kappa Educational Foundation,",1981,0,https://libswu.on.worldcat.org/oclc/7869220
7977959,Occupational reading /,"Waters, Louise Bay.",428.43 Wa329O, Theory & Practice of Education,"Wadsworth Pub. Co.,",1982,0,https://libswu.on.worldcat.org/oclc/7977959
8000422,Perspectives on the sociology of education :an introduction /,"Robinson, Philip E. D.",370.19 Ro663P, Educational Sociology,"Routledge & Kegan Paul,",1981,0,https://libswu.on.worldcat.org/oclc/8000422
8034384,Reader meets author/bridging the gap :a psycholinguistic and sociolinguistic perspective /,"Langer, Judith A.Smith-Burke, M. Trika.",428.43 Re286, Theory & Practice of Education,"International Reading Association,",1982,0,https://libswu.on.worldcat.org/oclc/8034384
8266140,A study of classroom teaching behaviour and creativity /,"Gupta, Arun Kumar,",371.102 Gu977S, Educational Psychology,"Light & Life Publishers,",1980,0,https://libswu.on.worldcat.org/oclc/8266140
8306640,Educational psychology :applications for classroom learning and instruction /,"Reilly, Robert R.; Lewis, Ernest L.",370.15 Re362E, Educational Psychology,"Macmillan ;Collier Macmillan,",1983,0,https://libswu.on.worldcat.org/oclc/8306640
8576561,The quality of school life /,"Williams, Trevor,; Batten, Margaret.",371.810994 Wi727Q, Educational Sociology,"Australian Council for Educational Research,",1981,0,https://libswu.on.worldcat.org/oclc/8576561
8897753,Educational technology in curriculum development /,"Rowntree, Derek.",371.3 Ro884E  1982, Theory & Practice of Education,"Harper & Row,",1982,0,https://libswu.on.worldcat.org/oclc/8897753
9066374,Education and national development :a comparative perspective /,"Fa?gerlind, Ingemar,; Saha, Lawrence J.",370.19 Fa153E  c.2, Economics of Education,"Pergamon,",1983,0,https://libswu.on.worldcat.org/oclc/9066374
9154053,A handbook of educational technology /,"Percival, Fred.; Ellington, Henry.",371.3078 Pe429H  c.2, Theory & Practice of Education,"Kogan Page ;Nichols Pub. Co.,",1984,0,https://libswu.on.worldcat.org/oclc/9154053
9390189,Summer programs for underprepared freshmen /,"Lauridsen, Kurt V.Myers, Carmel.",378.142 Su955, Theory & Practice of Education,"Jossey-Bass,",1982,0,https://libswu.on.worldcat.org/oclc/9390189
