,,,,,,,,
Item OCLC Number,Title,Author Name,LHR Item Call Number,Conspectus Subject,Publisher Name,Publication Date,Circulation Activity Count,URL
4591626,"Psychological foundations of education :an introduction to human motivation, development, and learning /","Bigge, Morris L.; Hunt, Maurice P.,",370.15 Bi592P 1980, Educational Psychology,"Harper & Row,",1980,0,https://libswu.on.worldcat.org/oclc/4591626
7614341,Psychology for teaching /,"Mouly, George J.",370.1523 Mo927P, Educational Psychology,"Allyn and Bacon,",1982,0,https://libswu.on.worldcat.org/oclc/7614341
8266140,A study of classroom teaching behaviour and creativity /,"Gupta, Arun Kumar,",371.102 Gu977S, Educational Psychology,"Light & Life Publishers,",1980,0,https://libswu.on.worldcat.org/oclc/8266140
8306640,Educational psychology :applications for classroom learning and instruction /,"Reilly, Robert R.; Lewis, Ernest L.",370.15 Re362E, Educational Psychology,"Macmillan ;Collier Macmillan,",1983,0,https://libswu.on.worldcat.org/oclc/8306640
9575425,Learning and motivation in the classroom /,"Paris, Scott G.,Olson, Gary M.Stevenson, Harold W.; Institute on Learning and Motivation in the Classroom",370.15 Le438, Educational Psychology,"Lawrence Erlbaum Associates,",1983,0,https://libswu.on.worldcat.org/oclc/9575425
11044151,New directions in educational psychology /,"Entwistle, Noel James.",370.15 Ne532, Educational Psychology,"Falmer Press,",1985,0,https://libswu.on.worldcat.org/oclc/11044151
11133361,The cognitive psychology of school learning /,"Gagné, Ellen D.",370.152 Ga135C, Educational Psychology,"Little, Brown,",1985,0,https://libswu.on.worldcat.org/oclc/11133361
11329574,The conditions of learning and theory of instruction /,"Gagné, Robert M.; Gagné, Robert M.",370.1523 Ga135C 1985, Educational Psychology,"Holt, Rinehart and Winston,",1985,0,https://libswu.on.worldcat.org/oclc/11329574
11329574,The conditions of learning and theory of instruction /,"Gagné, Robert M.; Gagné, Robert M.",370.1523 Ga135C 1985  c.2, Educational Psychology,"Holt, Rinehart and Winston,",1985,0,https://libswu.on.worldcat.org/oclc/11329574
12888655,The technology of teaching /,"Skinner, B. F.",154 Sk628T, Educational Psychology,"Prentice-Hall,",1968,0,https://libswu.on.worldcat.org/oclc/12888655
12949655,Educational psychology :theory into practice /,"Slavin, Robert E.",370.15 Sl631E, Educational Psychology,"Prentice-Hall,",1986,0,https://libswu.on.worldcat.org/oclc/12949655
12949655,Educational psychology :theory into practice /,"Slavin, Robert E.",370.15 Sl631E  c.3, Educational Psychology,"Prentice-Hall,",1986,0,https://libswu.on.worldcat.org/oclc/12949655
13004371,Evaluating and assessing for learning /,"Harris, N. D. C.; Bell, Chris,",370.1523 Ha313E, Educational Psychology,"Kogan Page,",1986,0,https://libswu.on.worldcat.org/oclc/13004371
13425322,"Cognitive classroom learning :understanding, thinking, and problem solving /","Phye, Gary D.,Andre, Thomas,",370.1523 Co676, Educational Psychology,"Academic Press,",1986,0,https://libswu.on.worldcat.org/oclc/13425322
